Latency (s),Prediction,Text
0.3374769687652588,REAL,Drinking Age at Disney World May be Lowered to 18
0.05338788032531738,REAL,Drinking Age at Disney World May be Lowered to 18
0.3736138343811035,REAL,Drinking Age at Disney World May be Lowered to 18
0.052820444107055664,REAL,Drinking Age at Disney World May be Lowered to 18
0.05463123321533203,REAL,Drinking Age at Disney World May be Lowered to 18
0.058995723724365234,REAL,Drinking Age at Disney World May be Lowered to 18
0.05493807792663574,REAL,Drinking Age at Disney World May be Lowered to 18
0.05255413055419922,REAL,Drinking Age at Disney World May be Lowered to 18
0.05584859848022461,REAL,Drinking Age at Disney World May be Lowered to 18
0.053606510162353516,REAL,Drinking Age at Disney World May be Lowered to 18
0.0537567138671875,REAL,Drinking Age at Disney World May be Lowered to 18
0.053472280502319336,REAL,Drinking Age at Disney World May be Lowered to 18
0.06642436981201172,REAL,Drinking Age at Disney World May be Lowered to 18
0.054208993911743164,REAL,Drinking Age at Disney World May be Lowered to 18
0.05341601371765137,REAL,Drinking Age at Disney World May be Lowered to 18
0.05257892608642578,REAL,Drinking Age at Disney World May be Lowered to 18
0.05722498893737793,REAL,Drinking Age at Disney World May be Lowered to 18
0.05369997024536133,REAL,Drinking Age at Disney World May be Lowered to 18
0.0526280403137207,REAL,Drinking Age at Disney World May be Lowered to 18
0.055841922760009766,REAL,Drinking Age at Disney World May be Lowered to 18
0.05536246299743652,REAL,Drinking Age at Disney World May be Lowered to 18
0.055364370346069336,REAL,Drinking Age at Disney World May be Lowered to 18
0.05303382873535156,REAL,Drinking Age at Disney World May be Lowered to 18
0.05284523963928223,REAL,Drinking Age at Disney World May be Lowered to 18
0.05306100845336914,REAL,Drinking Age at Disney World May be Lowered to 18
0.053029537200927734,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05366325378417969,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05292248725891113,REAL,Justin Trudeau pressured to resign by MPs within own party
0.0554046630859375,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05239701271057129,REAL,Justin Trudeau pressured to resign by MPs within own party
0.053961753845214844,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05366158485412598,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05634140968322754,REAL,Justin Trudeau pressured to resign by MPs within own party
0.052529335021972656,REAL,Justin Trudeau pressured to resign by MPs within own party
0.053176164627075195,REAL,Justin Trudeau pressured to resign by MPs within own party
0.056456804275512695,REAL,Justin Trudeau pressured to resign by MPs within own party
0.0543360710144043,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05271410942077637,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05362200736999512,REAL,Justin Trudeau pressured to resign by MPs within own party
0.053052663803100586,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05399012565612793,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05422782897949219,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05295753479003906,REAL,Justin Trudeau pressured to resign by MPs within own party
0.052880048751831055,REAL,Justin Trudeau pressured to resign by MPs within own party
0.0529475212097168,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05439305305480957,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05372762680053711,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05464315414428711,REAL,Justin Trudeau pressured to resign by MPs within own party
0.054343223571777344,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05363726615905762,REAL,Justin Trudeau pressured to resign by MPs within own party
0.05317878723144531,REAL,Fred Rogers served as a sniper during the Vietnam War
0.053730010986328125,REAL,Fred Rogers served as a sniper during the Vietnam War
0.11450839042663574,REAL,Fred Rogers served as a sniper during the Vietnam War
0.054376840591430664,REAL,Fred Rogers served as a sniper during the Vietnam War
0.052872419357299805,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05302119255065918,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05508232116699219,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05247354507446289,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05392336845397949,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05848193168640137,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05369734764099121,REAL,Fred Rogers served as a sniper during the Vietnam War
0.0586094856262207,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05357670783996582,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05532050132751465,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05276226997375488,REAL,Fred Rogers served as a sniper during the Vietnam War
0.054533958435058594,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05374407768249512,REAL,Fred Rogers served as a sniper during the Vietnam War
0.052843332290649414,REAL,Fred Rogers served as a sniper during the Vietnam War
0.053404808044433594,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05438709259033203,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05372929573059082,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05297255516052246,REAL,Fred Rogers served as a sniper during the Vietnam War
0.054338932037353516,REAL,Fred Rogers served as a sniper during the Vietnam War
0.055013418197631836,REAL,Fred Rogers served as a sniper during the Vietnam War
0.056028127670288086,REAL,Fred Rogers served as a sniper during the Vietnam War
0.05324220657348633,REAL,Trump nearly assassinated at rally
0.05486774444580078,REAL,Trump nearly assassinated at rally
0.05319952964782715,REAL,Trump nearly assassinated at rally
0.05567193031311035,REAL,Trump nearly assassinated at rally
0.0529475212097168,REAL,Trump nearly assassinated at rally
0.05359935760498047,REAL,Trump nearly assassinated at rally
0.05517268180847168,REAL,Trump nearly assassinated at rally
0.05351400375366211,REAL,Trump nearly assassinated at rally
0.05315089225769043,REAL,Trump nearly assassinated at rally
0.053972482681274414,REAL,Trump nearly assassinated at rally
